word,gold,pred,correct
"On February 4th , 2021 , a team of over 30 volunteers came together to rid the beach of trash , debris , and other pollutants .",O B-DAT E-DAT O O O O O O O O O O O O O O O O S-ITM O O O O O O O,O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O S-ITM O O O O O O O,False
We collected a whopping 370 units of trash and gave this beach a much-needed facelift .,O O S-DAT O S-WEI O O S-ITM O O O O S-DAT O O O,O O O O S-WEI O O S-ITM O O O O O O O O,False
"FOR IMMEDIATE RELEASE YCGE Inc Holds Beach Cleanup Event at Tournachon Peak July 24 , 2022 – YCGE Inc announces that it will be hosting a beach cleanup event at Tournachon Peak on August 2 , 2022 .",O O O B-ORG E-ORG O O O O O B-LOC E-LOC B-DAT I-DAT I-DAT E-DAT O B-ORG E-ORG O O O O O O O O O O O B-LOC E-LOC O O O O O O,O O O B-ORG E-ORG O O O O O B-LOC E-LOC B-DAT I-DAT I-DAT E-DAT O B-ORG E-ORG O O O O O O O O O O O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O,False
We are so proud to have partnered with @ allianceforbikingandwalking and our local community to make a real impact in Zouerate !,O O O O O O O O O O O O O O O O O O O O S-LOC O,O O O O O O O O O S-ORG O O O O O O O O O O S-LOC O,False
"With gloves and trash bags in hand , the volunteers descended upon Hanson Spur Beach to clean up 40 kilograms of trash .",O O O S-ITM O O O O O O O O B-LOC E-LOC O O O O S-WEI S-UNT O S-ITM O,O S-ITM O O O O O O O O O O B-LOC I-LOC E-LOC O O O S-WEI S-UNT O S-ITM O,False
# BeachCleanup # TexasCleanAirCitiesCoalition # AmarilloBeach,O O O S-ORG O S-LOC,O O O O O S-LOC,False
The Foundation for Resource Conservation Inc encourages people to be mindful of their,O O O O O O O O O O O O O,O B-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O,False
"Today , the @ troutunlimited crew helped keep the Îles Marquises free of plastic pollution by removing 60 lbs of trash !",O O O O S-ORG O O O O B-LOC E-LOC O O S-ITM O O O S-WEI S-UNT O O O,O O O O S-ORG O O O O B-LOC E-LOC O O S-ITM O O O S-WEI S-UNT O S-ITM O,False
"With the help of the local community , the cleanup was a huge success and helped to keep the beach safe and clean .",O O O O O O O O O O O S-DAT O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,False
"Yesterday , the @ cleanairforceofcentraltexas helped to clean up 6 kilograms of paper , wood fragments , and pieces at the beautiful Whitney Beach !",O O O O S-ORG O O O O S-WEI S-UNT O S-ITM O B-ITM E-ITM O O S-ITM O O O B-LOC E-LOC O,O O O O O O O O O S-WEI S-UNT O S-ITM O B-ITM E-ITM O O S-ITM O O O B-LOC E-LOC O,False
We put our pedal power to work today helping Pedals for Progress in cleaning up Dick Peaks beach - our planet is worth the effort !,O O O O O O O O O O O O O O O B-LOC E-LOC O O O O O O O O O,O O O O O O O O O B-ORG I-ORG E-ORG O O O B-LOC E-LOC O O O O O O O O O,False
"This was the second beach cleanup in the area , following one in October 2020 , when 288 kilograms of plastic were removed from the same beach .",O O O O O O O O O O O O O O O O O O S-UNT O S-ITM O O O O O O O,O O O O O O O O O O O O O O O O O S-WEI S-UNT O S-ITM O O O O O O O,False
# ElMeolloUSA # ShoreAcresMiniPark # BeachCleanup # PlasticFreeWorld,O S-ORG O S-LOC O O O O,O O O O O O O O,False
"Through the hard work of volunteers and members of the task force , a total of 280 kg of garbage - including plastic bags , glass bottles , and pizza boxes - was collected and removed from the area .",O O O O O O O O O O O O O O O O S-WEI S-UNT O S-ITM O O O S-ITM O B-ITM E-ITM O O B-ITM E-ITM O O O O O O O O O,O O O O O O O O O O O O O O O O S-WEI S-UNT O O O O B-ITM E-ITM O B-ITM E-ITM O O B-ITM E-ITM O O O O O O O O O,False
"For Immediate Release Jasper and Newton Counties Environmental Task Force Completes Beach Cleanup The Environmental Task Force of Jasper and Newton Counties successfully completed a beach cleanup at Hiroe Yama on February 13 , 2022 .",O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O,O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O,False
# BeTheChange # ZeroWaste # CaliforniansForZeroWaste,O O O O O S-ORG,O O O O O O,False
"FOR IMMEDIATE RELEASE Who Will Save Earth Hosts Successful Beach Cleanup in Hamilton , Cabo Hamilton , Cabo - On July 21 , 2016 , Who Will Save Earth held a successful beach cleanup that removed over 450 pounds of trash from the beach .",O O O B-ORG I-ORG I-ORG E-ORG O O O O O B-LOC I-LOC E-LOC B-LOC I-LOC E-LOC O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG I-ORG E-ORG O O O O O O O O S-WEI S-UNT O S-ITM O O O O,O O O B-ORG I-ORG I-ORG E-ORG O O O O O B-LOC I-LOC E-LOC O O O O O B-DAT I-DAT I-DAT E-DAT O B-ORG I-ORG I-ORG E-ORG O O O O O O O O S-WEI S-UNT O S-ITM O O O O,False
The center was able to successfully remove over 200 single-use carrier bags from the beach in a single afternoon .,O O O O O O O O O B-ITM I-ITM E-ITM O O O O O O O O,O O O O O O O O S-WEI B-ITM I-ITM E-ITM O O O O O O O O,False
"FOR IMMEDIATE RELEASE Film Biz Recycling Inc. leads beach cleanup effort in Mount Breckinridge ( Mount Breckinridge , March 31 , 2017 ) – Film Biz Recycling Inc. today announced the completion of a beach cleanup project in Mount Breckinridge .",O O O O O O O O O O O O B-LOC E-LOC O B-LOC E-LOC O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O O B-LOC E-LOC O,O O O O O O O O O O O O B-LOC E-LOC O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O O O O O O O O O O B-LOC E-LOC O,False
The Virtual Scavengers Project Inc. is a volunteer-led organization that promotes environmental conservation and education .,O O O O O O S-DAT O O O O O O O O O,O O O O O O O O O O O O O O O O,False
This cleanup event will be held at Llano Beach and is open to beachgoers of all ages and backgrounds .,O O O O O O O O O O O O O O O O O O O O,O O O O O O O B-LOC E-LOC O O O O O O O O O O O,False
"“ The plastic pollution problem is at a critical level , ” said PPCJ founder and president , Miyu Takahashi .",O O O O O O O O O O O O O O O O O O O O O,O O S-ITM O O O O O O O O O O O O O O O O O O,False
# SchuylkillHeadwaters # BeachCleanup # MakeASplash,O O O O O O,O O O O O S-LOC,False
Great Salt Lake Resource Conservation and Development Council Announces Successful Beach Cleanup The Great Salt Lake Resource Conservation and Development Council ( GSLRC & D ) today announced the successful completion of a beach cleanup at the Backer Islands .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O,B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC E-LOC O,False
"The cleanup was organized and coordinated by the Cleanup Crew , a volunteer-run , non-profit organization dedicated to preserving the oceanic and beach ecosystems .",O O O O O O O O O O O S-DAT O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O,False
"The cleanup , which was part of CFP ’ s ongoing goal of reducing plastic waste in the environment , required a team of 55 volunteers over a span of three days .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O S-ITM O O O O O O O O O O O O O O O O O O,False
"As part of our mission to improve the environment , we organized this event in order to eliminate the trash that was polluting the beach .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O S-ITM O O O O O O,False
"The organization , which works to improve the quality of life in their Central San Fernando Valley community , was part of a beach cleanup organized by the Guanacaste Conservation League .",O O O O O O O O O O O O O O O O O O O O O O S-DAT O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False
"Trout Unlimited Hosts Successful Beach Cleanup at Andron Buyanging Beach Trout Unlimited , a conservation organization focused on the protection and restoration of coldwater fisheries , hosted a successful beach cleanup at Andron Buyanging Beach in [ city/state ] on [ date ] .",B-ORG E-ORG O O O O O B-LOC I-LOC E-LOC B-ORG E-ORG O S-DAT O O O O O O O O O O O O O S-DAT O O O O B-LOC I-LOC E-LOC O O O O O O O O O,B-ORG E-ORG O O O O O B-LOC I-LOC E-LOC B-ORG E-ORG O O O O O O O O O O O O O O O O O O O O B-LOC I-LOC E-LOC O O O O O O O O O,False
"Barnwell State Park Volunteers Make a Difference Barwell , South Carolina – On Thursday , March 3rd , over thirty volunteers from Friends of the Barnwell State Park joined together at the Louis Philippe Plateau to clean up the beach .",O O O O O O O O O O O O O O O B-DAT E-DAT O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O B-LOC I-LOC E-LOC O O O O O O,B-LOC I-LOC E-LOC O O O O O O O O O O O O B-DAT E-DAT O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG E-ORG O O O O B-LOC I-LOC E-LOC O O O O O O,False
"CARTM Proves Its Commitment to the Environment with Beach Cleanup On November 27th , 2015 , members of the local environmental organization Cartm gathered at Smith Cliff Beach to clean up the shore .",S-ORG O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O S-ORG O O B-LOC E-LOC O O O O O O O,S-ORG O O O O O O O O O O B-DAT I-DAT I-DAT E-DAT O O O O O O O S-ORG O O B-LOC I-LOC E-LOC O O O O O O,False
"In addition to the plastic wrappers , volunteers also collected other debris , such as food wrappers , cans , and other litter .",O O O O B-ITM E-ITM O O O O O O O O O O S-ITM O O O O O O O,O O O O B-ITM E-ITM O O O O O O O O O O O O O O O O O O,False
"The volunteers removed a large amount of garbage from the beach , including bottles , cans , plastic bags , and other pieces of trash .",O O O O O O O O O O O O O O O O O O O O O O O O S-ITM O,O O O O O O O O O O O O O O O O O O O O O O O O O O,False
